OverTime,TotalWorkingYears,JobRole,Age,JobLevel,MaritalStatus,YearsInCurrentRole,MonthlyIncome,YearsWithCurrManager,YearsAtCompany,StockOptionLevel,BusinessTravel,JobInvolvement,Attrition
No,3,Laboratory Technician,35,1,Single,0,2450,2,3,0,Travel_Rarely,2,No
Yes,15,Sales Executive,46,3,Married,2,9071,2,3,1,Travel_Rarely,2,No
No,10,Laboratory Technician,40,2,Married,9,6323,4,10,1,Travel_Frequently,3,No
No,22,Sales Executive,60,3,Married,13,10266,11,18,0,Travel_Frequently,2,No
No,22,Manager,45,4,Married,8,16792,8,20,1,Non-Travel,2,No
Yes,6,Manufacturing Director,27,2,Married,2,6142,3,6,1,Travel_Rarely,4,No
No,3,Sales Representative,21,1,Single,2,3447,2,3,0,Travel_Rarely,3,No
No,4,Laboratory Technician,42,1,Married,0,4841,0,1,1,Travel_Rarely,2,No
Yes,6,Research Scientist,34,1,Married,0,2932,2,5,3,Travel_Rarely,4,No
No,13,Sales Representative,31,1,Married,7,2329,2,7,0,Travel_Rarely,2,No
No,13,Laboratory Technician,36,1,Single,7,2088,2,8,0,Travel_Frequently,3,No
No,13,Sales Executive,31,2,Divorced,7,5460,7,7,2,Travel_Rarely,4,No
No,5,Research Scientist,34,1,Divorced,4,2029,0,5,3,Non-Travel,2,No
No,16,Research Director,40,3,Divorced,8,13757,8,9,1,Non-Travel,2,No
No,16,Research Director,51,3,Married,9,12490,7,10,2,Travel_Rarely,2,No
Yes,10,Manufacturing Director,30,2,Single,4,4695,7,8,0,Non-Travel,3,No
No,12,Sales Executive,35,3,Married,9,8020,9,11,2,Travel_Rarely,3,No
No,3,Sales Representative,32,1,Married,2,2269,2,2,1,Travel_Rarely,2,No
No,6,Sales Executive,33,2,Divorced,2,5505,4,6,2,Travel_Rarely,3,No
No,15,Healthcare Representative,40,2,Divorced,4,4448,7,7,1,Travel_Rarely,3,No
Yes,0,Sales Representative,18,1,Single,0,1878,0,0,0,Travel_Frequently,3,Yes
Yes,6,Sales Executive,27,2,Married,4,6349,4,5,1,Non-Travel,3,No
No,10,Sales Executive,42,2,Single,4,6244,3,5,0,Travel_Rarely,2,No
Yes,6,Healthcare Representative,29,2,Divorced,0,6623,0,6,2,Travel_Rarely,3,No
Yes,5,Sales Representative,29,1,Divorced,2,2800,2,3,3,Travel_Rarely,2,Yes
No,28,Sales Executive,46,3,Divorced,7,10096,3,7,1,Travel_Rarely,3,Yes
No,10,Laboratory Technician,36,2,Single,4,5810,8,10,0,Travel_Rarely,2,No
No,10,Manufacturing Director,39,2,Single,2,5042,8,9,0,Travel_Frequently,3,No
No,16,Laboratory Technician,36,1,Single,8,2519,9,11,0,Travel_Rarely,3,No
No,7,Laboratory Technician,34,1,Married,4,3294,2,5,1,Travel_Rarely,2,No
No,2,Sales Representative,31,1,Divorced,2,2789,2,2,1,Travel_Frequently,3,No
No,11,Laboratory Technician,36,2,Married,8,5674,8,9,1,Non-Travel,3,No
No,4,Research Scientist,23,1,Divorced,2,2904,2,4,2,Travel_Rarely,3,No
No,11,Laboratory Technician,40,2,Divorced,7,3975,7,8,2,Non-Travel,3,No
No,18,Laboratory Technician,37,1,Divorced,7,3034,17,18,1,Travel_Rarely,3,No
No,6,Human Resources,36,1,Married,4,2342,3,5,0,Travel_Rarely,2,No
No,11,Healthcare Representative,30,2,Married,10,4152,8,11,3,Travel_Rarely,2,No
No,1,Laboratory Technician,30,1,Divorced,0,2693,0,1,1,Travel_Rarely,3,No
Yes,7,Sales Representative,36,1,Single,2,2644,2,3,0,Travel_Rarely,3,No
No,6,Research Scientist,34,1,Married,0,2979,0,0,3,Non-Travel,2,No
Yes,6,Research Scientist,43,1,Married,0,2437,0,1,1,Travel_Frequently,2,Yes
No,1,Laboratory Technician,21,1,Single,0,1416,0,1,0,Travel_Rarely,2,Yes
No,18,Research Scientist,56,1,Married,4,2942,3,5,1,Travel_Frequently,3,No
No,6,Sales Executive,56,2,Married,0,5380,0,0,1,Travel_Rarely,2,No
No,31,Manager,50,4,Divorced,6,17924,7,31,1,Non-Travel,3,No
No,9,Laboratory Technician,32,2,Single,2,2176,4,6,0,Travel_Rarely,2,No
Yes,17,Research Scientist,38,2,Divorced,11,5329,9,13,3,Non-Travel,1,No
No,9,Healthcare Representative,37,2,Divorced,2,5731,3,6,2,Travel_Rarely,2,No
No,4,Research Scientist,33,1,Single,1,2500,2,3,0,Travel_Rarely,3,No
No,34,Manager,52,5,Married,18,19999,9,33,1,Travel_Rarely,2,No
No,15,Manager,48,3,Married,0,12504,0,0,1,Travel_Rarely,3,No
No,10,Laboratory Technician,28,2,Married,8,6674,5,9,3,Non-Travel,1,No
No,31,Manager,55,4,Single,7,16756,2,9,0,Non-Travel,2,No
No,23,Manager,46,4,Married,12,16606,1,13,1,Travel_Rarely,3,No
No,7,Research Scientist,29,1,Single,2,2058,5,6,0,Travel_Rarely,3,Yes
No,27,Healthcare Representative,48,3,Single,11,10999,8,15,0,Travel_Rarely,2,No
Yes,6,Healthcare Representative,31,2,Married,5,6833,1,6,0,Travel_Rarely,3,No
No,1,Laboratory Technician,35,1,Married,0,2269,1,1,0,Travel_Rarely,4,No
No,6,Research Scientist,27,1,Divorced,3,2187,3,5,2,Travel_Rarely,2,No
Yes,6,Research Scientist,27,1,Married,2,3058,1,5,1,Travel_Rarely,3,No
Yes,12,Sales Executive,41,3,Divorced,7,8189,7,9,1,Travel_Rarely,3,No
Yes,8,Sales Executive,37,2,Divorced,0,6694,0,1,3,Travel_Rarely,2,No
No,3,Laboratory Technician,22,1,Married,1,2523,1,2,1,Travel_Rarely,3,No
No,17,Manufacturing Director,35,3,Single,6,8095,13,16,0,Travel_Rarely,3,No
No,13,Human Resources,38,1,Divorced,10,2592,8,11,3,Non-Travel,3,No
No,14,Manufacturing Director,37,2,Married,8,6474,11,14,1,Travel_Rarely,2,No
No,3,Sales Representative,31,1,Married,2,3067,2,2,1,Travel_Rarely,3,No
Yes,28,Manufacturing Director,47,3,Divorced,11,10333,10,22,1,Travel_Rarely,2,No
No,19,Human Resources,37,2,Divorced,0,4071,7,10,0,Travel_Rarely,3,No
No,6,Research Scientist,27,1,Single,2,2580,2,4,0,Travel_Frequently,3,No
No,8,Sales Executive,27,2,Single,2,5071,0,6,0,Travel_Frequently,1,No
Yes,10,Manufacturing Director,38,3,Single,0,7861,0,1,0,Travel_Rarely,3,No
No,11,Laboratory Technician,34,2,Married,1,5346,7,7,1,Travel_Frequently,3,Yes
No,2,Sales Representative,35,1,Married,2,2014,2,2,0,Travel_Rarely,3,No
No,10,Human Resources,42,2,Married,3,6272,3,4,1,Non-Travel,4,No
Yes,1,Sales Representative,19,1,Single,0,2121,0,1,0,Travel_Rarely,2,Yes
No,10,Sales Executive,32,3,Married,3,9610,2,4,1,Travel_Rarely,1,No
No,30,Sales Executive,53,3,Married,7,7525,12,15,1,Travel_Frequently,2,No
Yes,8,Human Resources,44,1,Divorced,2,3195,2,2,3,Travel_Rarely,3,No
Yes,14,Sales Executive,46,2,Single,6,5772,8,9,0,Travel_Frequently,3,No
No,11,Research Scientist,30,2,Married,8,5775,9,10,2,Travel_Rarely,3,No
Yes,17,Healthcare Representative,55,2,Married,7,6385,7,8,2,Travel_Frequently,3,No
No,12,Research Scientist,45,2,Married,9,3697,8,10,2,Travel_Rarely,3,No
No,10,Healthcare Representative,42,2,Married,2,4089,2,10,2,Travel_Rarely,3,No
Yes,33,Manufacturing Director,56,4,Married,16,13402,9,19,1,Travel_Rarely,3,No
No,7,Manufacturing Director,38,2,Married,2,4855,4,5,2,Travel_Rarely,3,Yes
No,8,Research Scientist,27,1,Married,6,4774,3,7,1,Travel_Frequently,2,No
No,5,Sales Executive,28,2,Married,4,4221,4,5,0,Non-Travel,3,No
Yes,8,Research Scientist,30,1,Single,2,2657,4,5,0,Travel_Rarely,3,Yes
No,7,Human Resources,38,1,Married,6,2844,0,7,1,Travel_Rarely,4,No
No,16,Manufacturing Director,35,3,Married,10,10903,8,13,0,Travel_Rarely,2,No
No,10,Research Director,36,3,Married,7,11713,5,8,1,Non-Travel,4,No
No,7,Manufacturing Director,39,2,Married,4,5295,0,5,0,Travel_Rarely,3,No
Yes,19,Laboratory Technician,44,1,Divorced,0,3161,0,1,1,Travel_Frequently,3,Yes
No,10,Laboratory Technician,29,1,Married,8,3131,8,10,1,Travel_Rarely,3,No
Yes,9,Manufacturing Director,32,2,Married,8,6162,8,9,1,Travel_Rarely,3,No
No,9,Sales Executive,33,2,Single,7,4682,1,7,0,Travel_Frequently,2,No
Yes,10,Manufacturing Director,29,2,Married,7,5056,2,10,1,Travel_Rarely,2,No
Yes,15,Research Scientist,36,2,Married,0,6962,0,1,1,Travel_Rarely,3,No
No,5,Laboratory Technician,32,1,Married,0,2332,2,3,0,Non-Travel,2,No
Yes,6,Sales Executive,33,2,Single,2,8224,3,5,0,Travel_Rarely,3,Yes
Yes,32,Healthcare Representative,50,4,Married,8,11245,13,30,1,Travel_Frequently,3,No
Yes,21,Manager,42,4,Married,8,17861,10,20,0,Non-Travel,3,No
Yes,8,Manufacturing Director,41,2,Single,4,6032,2,5,0,Travel_Rarely,2,No
No,7,Sales Executive,27,2,Single,7,9981,7,7,0,Travel_Frequently,3,No
No,5,Manufacturing Director,25,2,Married,2,4898,2,4,2,Travel_Rarely,3,No
No,5,Sales Executive,28,2,Single,2,4898,3,4,0,Travel_Frequently,3,No
Yes,8,Sales Executive,41,2,Single,4,5993,5,6,0,Travel_Rarely,3,Yes
No,21,Research Director,41,5,Divorced,16,19973,10,21,2,Non-Travel,1,No
No,8,Manufacturing Director,37,2,Married,5,6447,3,6,1,Travel_Rarely,3,No
No,10,Sales Executive,34,2,Single,8,6125,6,10,0,Travel_Rarely,3,No
Yes,6,Sales Executive,27,2,Married,2,5769,4,6,0,Travel_Rarely,2,No
Yes,21,Manager,39,4,Married,9,17068,10,21,0,Travel_Rarely,3,No
Yes,27,Manufacturing Director,53,4,Married,2,12965,2,3,3,Non-Travel,2,No
No,16,Research Director,42,4,Single,0,15992,0,1,0,Travel_Rarely,3,No
No,13,Sales Executive,38,2,Married,7,5249,5,8,1,Non-Travel,2,No
No,20,Laboratory Technician,40,2,Married,0,3448,0,1,1,Travel_Rarely,2,No
No,20,Healthcare Representative,39,3,Single,6,10938,8,19,0,Travel_Frequently,3,No
No,30,Research Director,50,4,Married,3,17639,3,4,0,Travel_Rarely,3,No
No,19,Healthcare Representative,46,2,Single,7,5562,9,10,0,Travel_Rarely,3,No
No,9,Sales Executive,45,2,Married,7,4805,7,8,1,Travel_Rarely,3,No
Yes,1,Laboratory Technician,31,1,Divorced,0,1129,0,1,3,Travel_Rarely,1,No
No,5,Research Scientist,28,1,Single,2,4382,1,2,0,Travel_Rarely,3,Yes
Yes,13,Sales Executive,35,2,Single,9,4581,7,11,0,Travel_Frequently,3,Yes
Yes,8,Laboratory Technician,39,1,Married,2,2404,2,2,0,Travel_Rarely,3,Yes
Yes,6,Sales Representative,24,1,Single,3,3202,4,5,0,Travel_Rarely,3,Yes
No,3,Research Scientist,26,1,Divorced,2,2886,2,3,2,Travel_Rarely,3,No
No,6,Healthcare Representative,25,2,Divorced,3,4000,5,6,2,Non-Travel,4,No
No,24,Laboratory Technician,45,3,Divorced,9,5210,11,24,1,Travel_Frequently,3,No
Yes,5,Healthcare Representative,26,2,Married,3,4741,3,5,1,Travel_Frequently,3,No
Yes,28,Sales Executive,47,4,Divorced,2,13770,13,22,2,Travel_Frequently,3,No
No,15,Sales Executive,36,2,Divorced,12,5406,11,15,1,Non-Travel,1,No
Yes,24,Manager,55,5,Married,2,19859,4,5,1,Travel_Rarely,3,Yes
No,5,Laboratory Technician,38,1,Married,4,3702,4,5,1,Travel_Rarely,2,No
Yes,4,Healthcare Representative,55,2,Married,2,4035,2,3,0,Travel_Rarely,3,No
No,22,Healthcare Representative,40,4,Married,3,13503,11,22,1,Travel_Frequently,2,No
No,6,Sales Executive,29,2,Married,0,5561,2,6,1,Travel_Rarely,3,No
Yes,10,Sales Executive,52,3,Single,7,8446,7,8,0,Travel_Rarely,3,Yes
No,11,Healthcare Representative,29,2,Divorced,0,6384,6,7,2,Travel_Rarely,1,No
No,20,Laboratory Technician,45,2,Divorced,9,2348,15,17,1,Travel_Rarely,3,No
No,1,Laboratory Technician,32,1,Single,0,1393,0,1,0,Travel_Rarely,3,Yes
No,8,Laboratory Technician,33,1,Divorced,3,3408,3,4,3,Travel_Rarely,1,Yes
No,17,Research Scientist,41,2,Divorced,0,3072,0,1,2,Travel_Rarely,3,No
No,23,Manager,49,4,Single,7,15379,0,8,0,Travel_Rarely,3,No
No,8,Research Scientist,55,1,Divorced,2,3537,2,4,1,Travel_Rarely,2,No
No,3,Sales Representative,21,1,Single,2,2610,2,3,0,Non-Travel,3,No
No,17,Sales Executive,49,2,Married,6,5390,8,9,0,Travel_Frequently,2,No
No,21,Healthcare Representative,51,4,Single,7,13734,0,7,0,Travel_Rarely,3,No
No,6,Sales Representative,32,1,Married,3,3931,2,4,1,Travel_Rarely,3,No
Yes,40,Research Director,58,5,Single,15,19246,8,31,0,Travel_Rarely,3,Yes
Yes,23,Sales Executive,44,4,Married,11,13320,11,12,1,Travel_Rarely,4,No
Yes,24,Manufacturing Director,52,4,Married,3,13247,2,5,1,Travel_Frequently,4,No
Yes,9,Human Resources,35,3,Single,0,8837,7,9,0,Travel_Rarely,3,No
No,8,Sales Executive,41,2,Single,7,9355,7,8,0,Travel_Frequently,3,Yes
No,6,Research Scientist,35,1,Single,4,2859,4,6,0,Travel_Rarely,2,No
No,29,Laboratory Technician,49,3,Married,9,7403,7,26,1,Travel_Rarely,3,No
No,10,Sales Representative,37,1,Married,4,2973,0,5,1,Travel_Frequently,3,No
No,5,Laboratory Technician,28,1,Single,0,3485,0,0,0,Travel_Rarely,3,Yes
Yes,9,Research Scientist,35,2,Single,6,4249,1,9,0,Travel_Frequently,3,No
No,12,Laboratory Technician,42,1,Single,9,3673,8,12,0,Travel_Frequently,3,No
Yes,1,Sales Representative,25,1,Single,0,1118,0,1,0,Travel_Frequently,1,Yes
No,3,Laboratory Technician,23,1,Single,2,3295,2,3,0,Travel_Rarely,3,No
No,2,Sales Representative,20,1,Single,1,2678,2,2,0,Travel_Rarely,4,No
No,7,Manufacturing Director,30,2,Married,2,9957,2,6,1,Travel_Rarely,3,No
No,8,Laboratory Technician,40,1,Married,0,2406,0,1,2,Travel_Rarely,3,No
No,1,Sales Representative,21,1,Single,0,2716,0,1,0,Travel_Rarely,4,Yes
No,15,Sales Executive,36,2,Single,0,6815,0,1,0,Travel_Rarely,3,No
No,18,Manufacturing Director,51,3,Single,2,10650,3,4,0,Travel_Frequently,1,Yes
Yes,10,Laboratory Technician,44,1,Married,2,2818,2,3,1,Travel_Rarely,4,No
No,12,Research Scientist,34,2,Divorced,0,4505,0,1,1,Travel_Rarely,2,No
No,18,Manufacturing Director,40,3,Married,15,10435,12,18,2,Travel_Rarely,2,No
No,7,Laboratory Technician,33,1,Single,1,2496,0,1,0,Travel_Rarely,3,No
No,1,Research Scientist,23,1,Married,0,1223,1,1,1,Travel_Rarely,3,No
No,10,Sales Executive,36,3,Married,9,7596,0,10,2,Travel_Rarely,2,No
No,6,Human Resources,45,1,Single,3,2177,4,6,0,Travel_Rarely,3,No
Yes,10,Healthcare Representative,35,3,Married,7,7632,0,8,0,Travel_Rarely,3,No
No,10,Laboratory Technician,30,1,Single,0,2206,8,10,0,Travel_Rarely,2,No
No,12,Research Scientist,32,1,Single,7,2718,7,7,0,Non-Travel,3,No
No,5,Laboratory Technician,56,1,Single,2,2587,0,4,0,Travel_Rarely,3,Yes
No,10,Research Scientist,30,1,Divorced,7,2613,9,10,3,Travel_Frequently,1,No
No,14,Healthcare Representative,34,2,Single,9,5343,9,13,0,Travel_Frequently,2,No
No,7,Sales Executive,28,2,Single,5,5253,7,7,0,Travel_Rarely,3,No
No,15,Sales Executive,45,2,Married,10,5593,12,15,1,Non-Travel,2,No
Yes,17,Manufacturing Director,36,3,Divorced,7,10252,7,7,1,Travel_Rarely,1,No
No,18,Manufacturing Director,36,2,Single,9,7779,9,11,0,Non-Travel,3,No
Yes,6,Research Scientist,44,1,Single,4,2936,2,6,0,Travel_Rarely,3,Yes
No,13,Manufacturing Director,46,3,Divorced,7,10845,7,8,1,Travel_Rarely,3,No
No,1,Research Scientist,30,1,Divorced,0,1274,0,1,2,Non-Travel,3,No
Yes,1,Laboratory Technician,26,1,Single,0,2340,0,1,0,Travel_Rarely,1,Yes
No,2,Sales Representative,20,1,Single,2,2783,2,2,0,Travel_Rarely,3,No
Yes,21,Sales Executive,41,3,Single,0,7082,2,2,0,Travel_Rarely,3,No
Yes,11,Sales Executive,30,2,Divorced,8,5209,7,11,3,Travel_Rarely,2,No
No,3,Sales Representative,34,1,Divorced,2,2351,0,2,1,Travel_Frequently,1,Yes
No,10,Manufacturing Director,51,2,Married,0,6132,0,1,0,Travel_Rarely,2,No
No,6,Research Scientist,29,1,Married,2,2546,1,2,0,Travel_Rarely,2,Yes
No,3,Sales Representative,23,1,Divorced,0,2322,0,0,1,Travel_Rarely,3,No
No,10,Human Resources,29,3,Single,9,7988,9,10,0,Travel_Rarely,2,No
No,2,Laboratory Technician,38,1,Single,2,2288,1,2,0,Travel_Rarely,3,No
Yes,10,Manufacturing Director,38,3,Married,4,7756,2,5,1,Travel_Rarely,2,No
No,10,Sales Executive,33,2,Married,7,4539,1,10,1,Travel_Frequently,3,No
No,1,Laboratory Technician,24,1,Divorced,0,2694,0,1,3,Non-Travel,2,No
No,10,Manufacturing Director,38,3,Single,7,9526,8,9,0,Travel_Frequently,2,No
No,4,Sales Executive,47,2,Married,0,4978,0,1,1,Non-Travel,3,No
No,7,Research Scientist,39,2,Divorced,2,3902,2,2,3,Travel_Rarely,3,No
Yes,7,Research Scientist,45,1,Married,2,4477,2,3,1,Travel_Rarely,3,No
No,4,Laboratory Technician,22,1,Married,3,2451,1,4,1,Travel_Rarely,1,No
No,17,Research Scientist,35,2,Single,11,6646,8,17,0,Travel_Rarely,1,No
No,11,Healthcare Representative,41,2,Single,2,6870,2,3,0,Travel_Rarely,4,No
No,10,Laboratory Technician,51,1,Married,2,2075,3,4,2,Travel_Rarely,3,No
No,10,Manufacturing Director,39,2,Married,0,5151,9,10,1,Travel_Rarely,3,No
Yes,8,Research Scientist,37,1,Married,7,3564,7,8,1,Travel_Rarely,4,No
No,10,Sales Executive,31,2,Married,0,5476,2,10,2,Travel_Rarely,3,No
No,14,Laboratory Technician,56,1,Married,9,2339,8,10,1,Travel_Rarely,3,Yes
No,6,Sales Executive,37,2,Divorced,3,9525,3,6,2,Travel_Frequently,1,No
Yes,29,Research Director,50,5,Married,1,19237,7,8,1,Travel_Rarely,3,No
No,9,Sales Executive,40,2,Married,4,5473,1,8,0,Travel_Rarely,3,No
Yes,7,Human Resources,37,1,Divorced,2,2073,2,3,0,Travel_Rarely,3,Yes
No,29,Manager,47,4,Divorced,2,15972,2,3,3,Travel_Rarely,4,No
No,10,Sales Executive,34,2,Single,5,4568,7,9,0,Non-Travel,3,No
Yes,6,Sales Executive,40,2,Married,3,7457,2,4,3,Travel_Rarely,1,No
No,10,Sales Executive,30,3,Divorced,4,7264,7,8,1,Travel_Rarely,3,No
No,28,Sales Executive,59,3,Single,16,7637,9,21,0,Travel_Rarely,3,No
No,10,Research Scientist,29,1,Divorced,7,2720,8,10,1,Travel_Frequently,1,No
No,8,Sales Executive,30,2,Divorced,2,4779,2,3,2,Travel_Rarely,3,No
No,8,Laboratory Technician,37,1,Single,2,3629,2,3,0,Travel_Rarely,3,No
No,17,Sales Executive,37,3,Married,1,10609,7,14,0,Travel_Rarely,2,Yes
No,17,Laboratory Technician,36,2,Married,2,2571,3,5,1,Travel_Frequently,4,No
No,1,Research Scientist,31,1,Single,1,2501,0,1,0,Travel_Rarely,3,No
Yes,1,Laboratory Technician,35,1,Divorced,0,2074,0,1,1,Travel_Rarely,3,Yes
No,8,Manufacturing Director,26,2,Married,7,5472,3,8,0,Travel_Rarely,4,No
No,1,Sales Representative,32,1,Divorced,0,2827,0,1,3,Non-Travel,3,No
No,7,Laboratory Technician,36,1,Divorced,7,2741,7,7,1,Travel_Rarely,1,No
No,10,Research Scientist,30,1,Single,7,4968,7,9,0,Travel_Frequently,2,No
No,15,Manufacturing Director,35,3,Divorced,7,10274,4,7,1,Travel_Rarely,2,No
No,10,Healthcare Representative,36,2,Married,2,5347,2,3,2,Travel_Rarely,3,No
No,10,Research Scientist,28,2,Single,7,3660,7,8,0,Travel_Rarely,3,No
No,20,Research Scientist,42,2,Single,9,4332,7,20,0,Non-Travel,2,No
No,36,Manager,56,5,Single,3,19717,7,7,0,Travel_Rarely,3,No
No,1,Sales Representative,30,1,Single,0,1081,0,1,0,Travel_Rarely,3,Yes
No,20,Manufacturing Director,47,2,Divorced,0,5070,4,5,3,Travel_Rarely,3,No
No,15,Healthcare Representative,33,2,Divorced,11,7725,7,13,1,Travel_Frequently,3,No
No,1,Research Scientist,51,1,Married,0,2723,0,1,0,Travel_Rarely,3,No
No,21,Manager,40,5,Married,15,18041,12,20,0,Travel_Rarely,3,No
Yes,9,Sales Executive,34,3,Married,3,9713,0,5,3,Travel_Rarely,3,No
No,8,Laboratory Technician,42,1,Married,2,2093,0,2,1,Travel_Frequently,3,No
No,20,Sales Executive,59,2,Single,3,5473,3,4,0,Travel_Frequently,2,No
No,0,Laboratory Technician,18,1,Single,0,1420,0,0,0,Travel_Rarely,3,Yes
No,13,Sales Executive,31,2,Married,7,5468,7,12,2,Travel_Rarely,2,No
No,10,Laboratory Technician,38,2,Single,3,2406,9,10,0,Travel_Frequently,3,No
No,5,Research Scientist,35,1,Married,2,2194,2,3,1,Travel_Frequently,3,No
No,9,Sales Executive,27,2,Single,7,6500,7,8,0,Travel_Rarely,4,No
No,9,Sales Representative,27,2,Married,8,3540,8,9,1,Travel_Rarely,2,No
No,18,Sales Executive,43,3,Divorced,0,10798,0,1,1,Travel_Rarely,2,No
No,17,Sales Executive,36,2,Married,7,4639,13,15,1,Travel_Frequently,4,No
No,8,Healthcare Representative,37,2,Single,3,4107,1,4,0,Travel_Rarely,3,No
Yes,21,Healthcare Representative,46,3,Married,9,10673,5,10,1,Travel_Frequently,2,No
Yes,21,Manager,39,5,Divorced,8,19197,6,21,1,Travel_Frequently,3,No
No,8,Laboratory Technician,28,1,Single,0,2561,0,0,0,Travel_Frequently,2,Yes
No,4,Sales Executive,30,2,Married,1,5301,2,2,2,Travel_Rarely,3,No
Yes,4,Research Scientist,37,1,Married,2,2326,2,4,3,Travel_Frequently,3,No
Yes,4,Manufacturing Director,35,2,Married,2,4788,2,3,0,Travel_Rarely,2,No
No,8,Sales Executive,34,2,Married,7,6712,7,8,2,Travel_Rarely,2,No
No,10,Manufacturing Director,28,3,Divorced,7,7655,7,9,3,Travel_Rarely,3,No
No,21,Manager,50,5,Single,4,19926,4,5,0,Travel_Rarely,3,No
No,1,Human Resources,19,1,Single,0,2564,0,1,0,Travel_Rarely,2,Yes
Yes,23,Research Director,44,5,Divorced,7,19049,10,22,1,Travel_Rarely,3,No
No,11,Sales Executive,40,3,Divorced,0,9705,0,1,1,Travel_Rarely,2,No
Yes,29,Research Director,50,5,Divorced,3,18740,8,27,1,Travel_Rarely,2,No
Yes,10,Laboratory Technician,40,1,Single,2,2166,3,4,0,Travel_Rarely,3,Yes
No,10,Sales Executive,41,2,Divorced,3,4103,7,9,1,Travel_Frequently,3,No
No,8,Research Scientist,33,1,Married,7,2756,6,8,1,Travel_Rarely,3,No
Yes,3,Research Scientist,31,1,Divorced,2,2695,2,2,1,Travel_Rarely,3,No
No,6,Sales Executive,25,2,Married,2,8639,2,2,0,Travel_Rarely,2,No
No,2,Laboratory Technician,24,1,Divorced,1,2296,0,1,3,Travel_Rarely,2,No
Yes,16,Research Scientist,40,2,Married,1,4422,0,1,1,Travel_Frequently,2,No
Yes,16,Human Resources,46,2,Divorced,2,5021,2,4,1,Travel_Rarely,3,No
No,10,Manufacturing Director,38,2,Married,3,5321,7,8,1,Travel_Frequently,2,No
No,21,Manager,41,4,Divorced,6,17181,7,7,1,Travel_Frequently,2,No
No,9,Manufacturing Director,27,3,Divorced,7,8793,7,9,2,Travel_Frequently,3,No
No,16,Sales Executive,54,2,Married,2,5940,5,6,1,Travel_Rarely,3,No
Yes,17,Laboratory Technician,49,1,Divorced,2,2587,2,2,1,Travel_Rarely,3,No
No,8,Human Resources,31,1,Single,2,2109,2,3,0,Travel_Rarely,4,No
No,1,Laboratory Technician,19,1,Single,0,1483,0,1,0,Travel_Rarely,3,No
No,2,Research Scientist,23,1,Single,2,3505,2,2,0,Travel_Rarely,4,No
No,1,Human Resources,29,1,Married,0,2804,0,1,0,Travel_Rarely,2,No
Yes,7,Sales Executive,35,2,Divorced,2,5440,2,2,2,Travel_Rarely,1,Yes
No,19,Laboratory Technician,53,2,Single,2,2450,2,2,0,Travel_Rarely,3,No
Yes,9,Sales Executive,34,2,Single,2,5304,4,5,0,Non-Travel,4,Yes
Yes,3,Sales Representative,50,1,Married,2,2683,2,3,0,Travel_Rarely,2,Yes
No,7,Sales Executive,43,2,Single,3,5346,3,4,0,Travel_Rarely,1,Yes
No,6,Research Scientist,36,1,Married,2,2543,2,2,1,Travel_Rarely,3,No
No,40,Healthcare Representative,58,3,Married,10,10312,6,40,1,Travel_Rarely,3,Yes
No,5,Research Scientist,52,1,Married,3,4258,2,4,1,Non-Travel,3,No
No,6,Laboratory Technician,35,1,Married,4,2426,3,5,1,Travel_Rarely,4,No
No,8,Sales Executive,36,2,Married,3,6652,0,6,1,Travel_Rarely,2,No
No,10,Sales Executive,30,2,Married,8,9714,7,10,1,Travel_Rarely,2,Yes
No,6,Sales Executive,34,2,Single,2,6029,2,2,0,Travel_Rarely,1,No
Yes,4,Human Resources,29,1,Divorced,2,2335,0,2,3,Travel_Rarely,2,Yes
No,7,Sales Executive,26,2,Single,7,4294,7,7,0,Travel_Frequently,2,No
No,15,Sales Executive,35,3,Married,12,10306,0,13,0,Travel_Rarely,2,Yes
No,10,Sales Executive,31,2,Single,2,5332,3,5,0,Travel_Frequently,3,No
No,10,Healthcare Representative,44,2,Single,2,5933,3,5,0,Travel_Rarely,3,No
No,5,Sales Executive,25,2,Single,3,4950,1,4,0,Travel_Rarely,3,No
Yes,6,Research Scientist,38,1,Married,0,3057,1,1,1,Travel_Rarely,3,No
Yes,5,Sales Executive,27,2,Single,4,4478,4,5,0,Travel_Rarely,3,No
No,7,Human Resources,59,1,Married,2,2267,2,2,0,Travel_Rarely,3,No
No,22,Sales Executive,49,4,Married,8,13120,3,9,1,Travel_Rarely,2,No
No,4,Research Scientist,37,1,Single,0,4680,0,1,0,Travel_Rarely,4,No
No,12,Sales Executive,35,3,Divorced,9,7823,8,10,1,Travel_Rarely,3,No
No,4,Manufacturing Director,36,2,Married,2,4374,2,3,0,Non-Travel,2,No
Yes,12,Research Director,38,3,Divorced,10,11510,9,11,1,Travel_Rarely,2,No
No,4,Sales Representative,30,1,Single,2,2983,2,3,0,Travel_Rarely,3,No
No,10,Laboratory Technician,40,2,Single,0,5094,0,1,0,Travel_Frequently,2,No
No,30,Healthcare Representative,56,4,Married,7,11103,1,10,0,Travel_Rarely,3,No
No,8,Manufacturing Director,41,2,Single,2,5003,1,2,0,Travel_Rarely,3,No
Yes,14,Human Resources,44,2,Married,7,5743,2,10,0,Travel_Frequently,3,No
No,15,Sales Executive,35,2,Married,9,4717,9,11,0,Travel_Rarely,3,No
No,3,Research Scientist,21,1,Single,2,3117,2,2,0,Travel_Rarely,3,No
